"","X","word","counts","aveScore"
"419",999,"same",56,1.14668055555556
"420",1096,"na",56,1.65582729331823
"421",1115,"late",56,1.51269230769231
"422",1272,"darling",56,0.790615384615385
"423",1380,"close",56,1.79185
"424",405,"saturday",55,1.3182
"425",711,"any",55,1.2405987460815
"426",1106,"goodnight",55,1.57571698113208
"427",1998,"brown",55,1.94085714285714
"428",2373,"maybe",55,1.37408928571429
"429",2896,"swing",55,1.6391038961039
"430",3083,"les",55,1.4370960591133
"431",3198,"once",55,1.0507125
"432",677,"wedding",54,1.30262962962963
"433",961,"stone",54,1.52536904761905
"434",1534,"joe",54,1.33814754098361
"435",1669,"country",54,1.05464814814815
"436",2328,"friends",54,1.34226315789474
"437",25,"beat",53,1.86600892857143
"438",94,"wonder",53,1.4598449197861
"439",1469,"mean",53,1.29734444444444
"440",28,"body",52,1.71273464373464
"441",68,"dead",52,1.16722807017544
"442",484,"done",52,1.76918965517241
"443",527,"secret",52,1.53179032258065
"444",561,"bells",52,1.19954716981132
"445",675,"i.d",52,1.54327247502775
"446",715,"bring",52,1.51098275862069
"447",1413,"we.re",52,1.60594230769231
"448",239,"bit",51,2.16447727272727
"449",452,"ring",51,1.55096062992126
"450",469,"game",51,2.2303661971831
"451",1368,"break.",51,1.89248913043478
"452",2606,"poor",51,0.933708333333333
"453",3184,"santa",51,1.31309615384615
"454",16,"ready",50,1.40171698113208
"455",124,"until",50,1.2295
"456",392,"knew",50,1.74496
"457",443,"top",50,1.67665151515152
"458",696,"sea",50,1.57224444444444
"459",886,"di",50,1.57783502366464
"460",1604,"trouble",50,1.25057534246575
"461",145,"children",49,1.08432692307692
"462",307,"queen",49,1.75855555555556
"463",334,"low",49,1.87214754098361
"464",536,"next.",49,1.44153191489362
"465",967,"line",49,1.40447244094488
"466",1042,"power",49,2.14342592592593
"467",1525,"wrong",49,1.02292307692308
"468",1561,"belong",49,2.00873913043478
"469",2350,"yes",49,1.68315384615385
"470",2548,"anymore",49,1.42930612244898
"471",3332,"american",49,2.52503571428571
"472",200,"five",48,1.84776086956522
"473",378,"number",48,1.39052631578947
"474",578,"york",48,0.943155555555556
"475",598,"c.est",48,1.24714285714286
"476",952,"du",48,1.50453112033195
"477",1240,"rainbow",48,1.38069090909091
"478",2327,"lullaby",48,1.05751020408163
"479",3037,"soon",48,1.20076363636364
"480",21,"jump",47,1.89546153846154
"481",459,"chance",47,1.654
"482",845,"il",47,1.5785528109029
"483",899,"twist",47,2.38655357142857
"484",1298,"somewhere",47,1.38127659574468
"485",1324,"really",47,2.44193617021277
"486",1954,"well",47,1.38082926829268
"487",2055,"john",47,1.32310434782609
"488",2633,"told",47,1.54914285714286
"489",8,"prayer",46,2.333
"490",286,"special",46,1.29010204081633
"491",1372,"four",46,1.61412
"492",1642,"sunny",46,1.30476595744681
"493",1877,"snow",46,1.17508333333333
"494",5083,"je",46,1.67897709923664
"495",292,"today",45,1.38351020408163
"496",860,"se",45,1.57370550161812
"497",1297,"hurt",45,1.78352941176471
"498",1685,"yellow",45,3.35626666666667
"499",2033,"ball",45,1.78253846153846
"500",2192,"mood",45,1.78644
"501",2348,"devil",45,1.88913725490196
"502",174,"holiday",44,1.62691111111111
"503",600,"vie",44,1.23524347826087
"504",683,"makes",44,1.68254545454545
"505",1164,"follow",44,1.70258333333333
"506",1312,"apple",44,1.68614814814815
"507",1909,"hill",44,1.45443373493976
"508",2392,"nao",44,0.588522727272727
"509",2529,"funny",44,0.913116279069767
"510",2783,"lovely",44,1.58967441860465
"511",2844,"island",44,1.12386538461538
"512",3575,"running",44,1.674
"513",4439,"garden",44,1.38810204081633
"514",4861,"meu",44,0.644422222222222
"515",546,"those",43,1.52806976744186
"516",1031,"air",43,1.56001568627451
"517",1184,"find",43,0.999212765957447
"518",1206,"radio",43,1.51533333333333
