"word" "instances" "U.S" "Eng" "Eur" "Row"
"43" "satisfaction" "1" 0.000391882133181946 0.000188374173462567 0.000104401365866421 -4.00238905489531e-05
"44" "lose" "7" -3.60023829700928e-05 -4.4656429533951e-05 0 0
"45" "yourself" "5" -4.54701612750328e-05 -7.15160052336945e-05 -5.30634313624416e-05 0
"46" "yeah" "2" -3.54870586327079e-05 -1.32891148712965e-05 -6.68747486816051e-05 0
"47" "believe" "18" 0 -5.29111817980316e-06 1.86359615178364e-05 0
"48" "stayin" "2" -8.17225168141642e-05 1.33193831994228e-05 3.03998871825483e-05 3.06612971983923e-05
"49" "alive" "6" -8.95273581062173e-05 2.20833375124635e-05 -4.82595069087508e-05 0
"50" "every" "11" -6.57283067475193e-05 -4.95504840976279e-05 -7.17003180496439e-06 0
"51" "breath" "3" -3.02165030457287e-05 -6.93544314916845e-05 -6.07035886778564e-05 0
"52" "take" "34" -6.98098984967017e-05 -2.78550103726458e-05 -6.78026848267079e-05 -3.82835989470584e-05
"53" "let" "38" -5.3563180049775e-05 -5.47670691855351e-05 -9.50764637205461e-06 0
"54" "be" "124" -5.54984058318778e-05 -6.74820411771138e-05 -4.40415654079932e-05 -4.35858756850072e-05
"55" "whiter" "1" 0.000149009283284563 0.000317498196479999 0.000186647698292924 -3.81676913390866e-05
"56" "shade" "2" -1.98790846661202e-05 -6.6751816131766e-05 -4.68221498908538e-05 0
"57" "of" "264" -4.53509611199253e-05 -6.6464252704327e-05 -6.22088113893055e-05 -4.18806270386103e-05
"58" "pale" "1" 0.000146207399325366 0.000311528144922256 0.000183138083453228 -3.74500082540782e-05
"59" "bette" "1" 0 1.90775187771438e-06 -1.88205209589441e-05 -4.12972390108089e-05
"60" "davis" "1" 0.000242717833839442 0.000102655015284692 0.000227106040751114 6.67779250064772e-05
"61" "eyes" "34" -3.23119334249775e-05 0 -6.45685523344164e-05 0
"62" "bleeding" "1" 9.47713096283449e-05 0.00017155886433495 0.000174868599740853 1.98308722479826e-05
"63" "umbrella" "1" 0.000127423518641359 0.000141074210191307 0.000150327181752691 7.88698320630786e-05
"64" "mack" "4" -7.21586768050495e-06 0 0 0
"65" "knife" "3" -7.21444965331763e-06 0 0 0
"66" "i.ll" "31" -8.80888167711851e-05 0 8.8846202713756e-06 1.647463156628e-05
"67" "missing" "4" -8.71908319400765e-06 2.45667846789999e-05 -4.65332549136427e-05 0
"68" "billie" "2" 0.000169083896584284 4.89523062667412e-05 -6.35909988281991e-05 0
"69" "jean" "3" 0 -6.697400595542e-05 0.000117037133332308 0
"70" "want" "53" -6.62861397182902e-05 -5.19979930156176e-05 -3.90435674543624e-05 -4.23182838547406e-05
"71" "to" "245" 1.49217764473808e-06 0 0 -3.1454473419365e-05
"72" "hold" "20" -4.01206877793008e-05 -6.44335099301473e-05 0 1.34288536153787e-05
"73" "your" "124" 6.27339408667374e-05 -5.11442279674726e-05 0 0
"74" "hand" "10" -3.97453539158297e-05 -6.38307266889398e-05 0 1.33032250733863e-05
"75" "sweet" "28" -4.44141951022837e-05 -4.03952340125773e-05 0 0
"76" "lord" "4" 4.31938840121772e-08 0 -6.15271245230994e-05 0
"77" "dancing" "12" 2.68515353654151e-05 -5.9353194382198e-05 -5.92954255110956e-05 -3.99138044116662e-05
"78" "queen" "7" -3.63224455256145e-05 -2.54734437824325e-05 -3.5236318362796e-05 0
"79" "baby" "67" -4.89731610031166e-05 -5.59439184469185e-05 -4.50013476678914e-05 -3.99443544913001e-05
"80" "one" "54" -3.12724383682422e-05 0 0 -3.59389375729839e-05
"81" "more" "34" -7.86373558685356e-05 -5.83733495345555e-05 -3.72719773074569e-05 6.21477711111947e-05
"82" "time" "61" 1.07831289652461e-05 -6.19761352880342e-05 0 0
"83" "you.re" "41" -1.03507312291927e-05 0 0 0
"84" "that" "61" -6.15042539975925e-05 -4.8246854974346e-05 -3.62269623769122e-05 -3.92654405582471e-05
"85" "we" "46" -7.06987434202832e-05 -2.709226268007e-05 -4.54707131097801e-05 0
"86" "are" "46" -1.56408849194803e-05 -2.16166339524937e-05 -5.73262201883956e-05 0
"87" "world" "40" 1.4046785935777e-06 0 0 -2.96100304412457e-05
"88" "mmmbop" "1" 3.59131809316772e-05 0.000140592362384634 0.000162458073890955 0.000264963545881969
"89" "vogue" "1" 8.71642201658946e-05 0.000116847303897373 0.000177753547958816 0.000180318403944667
"90" "macarena" "1" 9.39567824199567e-05 4.65639129373856e-05 0.00018460587300598 0.000219472713595502
"91" "wannabe" "1" 3.50225823424542e-05 0.000158928804165353 0.000212319280738006 8.42884817562309e-05
"92" "oh" "22" -4.08900664601285e-05 -3.56902943281128e-05 -5.77806122380312e-05 -3.69127281044985e-05
"93" "pretty" "4" -2.69504202114632e-05 5.67305617009853e-05 -3.87617908308846e-05 0
"94" "woman" "35" 3.47308316858913e-05 -4.32977578421375e-05 -5.81188306626258e-05 0
"95" "without" "22" -2.57755407837212e-06 0 0 0
"96" "me" "316" -7.63768193728184e-05 -5.80881504179402e-05 -2.21897055328608e-05 7.66579397208288e-05
"97" "eye" "3" -2.78610979198526e-05 0 -5.56745006704455e-05 0
"98" "tiger" "3" -8.16650740716564e-05 2.33170952552068e-05 1.72758250041201e-05 0
"99" "lonesome" "2" 3.52644202464928e-05 0 0 0
"100" "tonight" "32" -1.62983817578049e-05 -1.44588999834347e-05 -3.48791712528574e-05 0
"101" "ymca" "1" 7.05685287381263e-05 0.000223552307532729 0.00020711377236857 -2.31056698655388e-05
"102" "just" "44" -6.27282257535841e-05 -2.90993259602585e-05 9.31166311507966e-06 0
"103" "called" "4" -6.23474424443251e-05 1.96603340151377e-05 -3.33611048177156e-05 0
"104" "say" "31" -8.32621696167359e-07 0 -5.52308062349716e-05 -3.01883545274201e-05
"105" "careless" "2" -1.03319568924296e-05 -5.25290290925513e-05 0 -3.56677761413217e-05
"106" "whisper" "1" -1.24033585244356e-05 0 0 0
"107" "imagine" "1" 0.000169238171573895 0.000316909006145739 6.4455796296969e-05 2.10450553116494e-05
"108" "help" "10" -3.3172369350134e-05 -1.25800044371334e-05 -5.242726909546e-05 0
"109" "falling" "8" -7.1106199042927e-05 -2.2621067356007e-05 2.26404386079277e-05 0
"110" "ya" "7" 0 7.87659226202661e-06 -2.34480480386791e-05 -3.49315306411051e-05
"111" "bohemian" "2" -3.6412827575818e-05 -3.63604627255668e-05 -4.75465728836215e-05 1.4024156513574e-05
"112" "rhapsody" "3" -3.64067091439412e-05 -3.63543530925334e-05 -4.75385836532725e-05 1.40218000405404e-05
"113" "kissed" "3" -1.0042360309122e-06 -5.81906893285194e-06 -5.53673162451303e-05 0
"114" "girl" "53" -8.05992239220235e-05 -4.2168528593192e-05 2.00434367895898e-05 0
"115" "over" "37" -4.64777616891677e-05 -5.66475585476024e-05 0 5.79873244571706e-05
"116" "rainbow" "2" -4.21941198806737e-05 7.98252572382045e-06 -2.62270607349013e-05 0
"117" "it.s" "69" -5.63754962079526e-05 -4.422361402446e-05 -3.32060442548445e-05 -3.5991147789252e-05
"118" "now" "42" -7.08227484877555e-05 -5.51039391322902e-06 -1.17205976095971e-05 0
"119" "or" "16" 1.27346944434709e-06 0 0 -2.68441970892951e-05
"120" "never" "41" -4.1862499337769e-05 -4.28034032964525e-05 -7.43073580739631e-06 0
